Kabupaten, Produksi
Kabupaten Pacitan,88117
Kabupaten Ponorogo,404665
Kabupaten Trenggalek,116456
Kabupaten Tulungagung,237917
Kabupaten Blitar,247366
Kabupaten Kediri,198222
Kabupaten Malang,273359
Kabupaten Lumajang,295076
Kabupaten Jember,615698
Kabupaten Banyuwangi,513490
Kabupaten Bondowoso,258951
Kabupaten Situbondo,151157
Kabupaten Probolinggo,190180
Kabupaten Pasuruan,264951
Kabupaten Sidoarjo,202501
Kabupaten Mojokerto,297042
Kabupaten Jombang,326827
Kabupaten Nganjuk,429311
Kabupaten Madiun,461798
Kabupaten Magetan,307280
Kabupaten Ngawi,786476
Kabupaten Bojonegoro,674002
Kabupaten Tuban,489419
Kabupaten Lamongan,792662
Kabupaten Gresik,379666
Kabupaten Bangkalan,195323
Kabupaten Sampang,195601
Kabupaten Pamekasan,96724
Kabupaten Sumenep,221979
Kota Kediri,9535
Kota Blitar,5793
Kota Malang,11311
Kota Probolinggo,8924
Kota Pasuruan,8305
Kota Mojokerto,4415
Kota Madiun,13506
Kota Surabaya,9833
Kota Batu,5750
