Kabupaten, Produksi
Kabupaten Pacitan,83941
Kabupaten Ponorogo,377333
Kabupaten Trenggalek,108446
Kabupaten Tulungagung,214398
Kabupaten Blitar,196848
Kabupaten Kediri,215913
Kabupaten Malang,274390
Kabupaten Lumajang,290688
Kabupaten Jember,590263
Kabupaten Banyuwangi,470833
Kabupaten Bondowoso,261018
Kabupaten Situbondo,159928
Kabupaten Probolinggo,192600
Kabupaten Pasuruan,272936
Kabupaten Sidoarjo,209110
Kabupaten Mojokerto,312686
Kabupaten Jombang,343164
Kabupaten Nganjuk,436884
Kabupaten Madiun,446052
Kabupaten Magetan,309053
Kabupaten Ngawi,837773
Kabupaten Bojonegoro,728915
Kabupaten Tuban,507054
Kabupaten Lamongan,886061
Kabupaten Gresik,407717
Kabupaten Bangkalan,207295
Kabupaten Sampang,191735
Kabupaten Pamekasan,101827
Kabupaten Sumenep,228980
Kota Kediri,10284
Kota Blitar,5274
Kota Malang,11724
Kota Probolinggo,7543
Kota Pasuruan,10115
Kota Mojokerto,4462
Kota Madiun,15167
Kota Surabaya,11138
Kota Batu,4988
